,enthusiasm,urgency,surprise,trust,curiosity,exclusivity,dominant topic,sum,subject lines
0,0.999358583258389,6.044240878427497e-05,0.00021477380880458204,0.00022348544386973163,9.734663406144477e-05,4.536844609114908e-05,enthusiasm,1.0000000000000002,Event for Freshmen: Discover career opportunities in STEM & Business!
1,0.5579344734739219,0.0001658051209515882,0.00048645348096369766,0.00039179246126602995,0.42617786968512444,0.014843605777772374,enthusiasm,1.0,Complete your setup with the Slack desktop app
2,0.9803758092288316,0.0018266386047757382,0.003075873727848694,0.008312998597123903,0.0013978777274922304,0.005010802113927691,enthusiasm,0.9999999999999998,Are you ready to play?
3,0.00010048307827768598,0.0002177719413004083,0.6663648856070803,0.00014435647016354658,0.33308916328401417,8.333961916392605e-05,surprise,1.0,"Gadabout - plus, Go behind the scenes of our new words"
4,0.0006008390096984793,0.0001599134945153069,3.833124941359125e-05,0.00013259641013577567,0.00025865395533242354,0.9988096658809041,exclusivity,0.9999999999999997,General Registration is now open for Winter/Spring!
5,6.820074620034791e-05,0.0001264388764847522,5.0196348731867106e-05,0.0005639514942603087,0.9991719897915835,1.9222742739464167e-05,curiosity,1.0000000000000002,"Voracious - plus, A Guide to Pluralizing Foreign Borrowings"
6,4.783872362625206e-05,0.00019168987498495617,5.109312550351261e-06,3.364764026150526e-05,0.9996389617450295,8.275270354772421e-05,curiosity,1.0000000000000002,The 3 best-kept secrets at Course Hero
7,4.6309969895440356e-05,1.8925209811751736e-05,0.00010852014140012769,0.00012577980815471686,0.9996574441920952,4.302067864278371e-05,curiosity,1.0,A global bank that doubles as a cybersecurity powerhouse? Count us in!
8,2.9175331584472998e-05,0.00010857219840302994,8.33367911442368e-05,0.0001025949137346467,0.9996463295003838,2.9991264749667787e-05,curiosity,0.9999999999999999,"Prothalamion - plus, What's the longest word in the dictionary?"
9,0.0012134110560845205,0.0019198007294375609,0.00022057554049526812,0.0008778710359434216,0.9948565257554539,0.0009118158825853385,curiosity,1.0,The next biggest thing
10,0.0005255478867103139,0.0003433425751753584,0.0001004181108016058,0.9977783904147421,0.0011839218349321147,6.837917763831671e-05,trust,0.9999999999999999,We have another Chrome extension
11,0.0010415201806993108,0.9977369800965163,0.00010356285983671659,0.0007425641788250989,0.00010300034340572046,0.0002723723407167251,urgency,1.0,Read free for 30 days
12,2.9466350051598163e-05,3.825649229144417e-05,2.284181215400712e-05,0.00011101994675852275,8.362945925112535e-05,0.9997147859394933,exclusivity,1.0,Tanish: check out this Care Giver job & more top job matches for you!
13,0.000697457134093044,1.2869456146497803e-05,1.4678824691492378e-05,0.999064669793117,0.0001962406094415056,1.4084182510375846e-05,trust,0.9999999999999999,needs your advice on BearX
14,0.0001839340588473811,0.0013192803095435773,2.7840127220171105e-05,0.9982775479093918,0.00012738853161089396,6.400906338607715e-05,trust,0.9999999999999999,$32K Scholarship Giveaway Expires TONIGHT!
15,0.00015934301740013734,0.9994144890550458,6.742774453035987e-05,0.00012538047893888505,9.689677625422225e-05,0.00013646292783045126,urgency,0.9999999999999999,One day only: Subscribe for $1 a week.
16,0.00028699228570923347,3.771200683004955e-05,4.7374476627876114e-05,0.00013920483285013286,0.999417208001745,7.150839623746787e-05,curiosity,0.9999999999999998,"Happy February - Come check out the newest startup jobs curated just
 for you!"
17,0.4292677473833885,9.698536683166752e-05,0.00019260495003669938,0.00012907314804367,0.5701807230205383,0.00013286613116116733,curiosity,1.0000000000000002,Drop #5: TuMeke - Computer Vision for Safer Factories
18,0.00011947899618409269,3.3702205605651255e-05,3.934910020692784e-05,0.9997082344924765,6.163821124999045e-05,3.7596994276870015e-05,trust,0.9999999999999999,"Happy 2021!! Reward yourself with helpful startup tips & strategies.
 Learn how to keep your alumni engaged!"
19,0.5650115657641671,0.0002937784638311521,0.00016225131088483508,7.366836285447256e-05,0.00041732844657728417,0.4340414076516849,enthusiasm,0.9999999999999998,Add your resume and apply in one-click
20,4.910807127295579e-05,4.7034854402207984e-05,2.2717091589833397e-05,4.965231709964661e-05,0.9996335821252276,0.0001979055404076377,curiosity,0.9999999999999999,Jobs are not Compromised- NEW OPENINGS 9th May
21,0.00022855732876125685,5.241441969054785e-06,1.7499882831338435e-05,0.9993783737161502,0.0003645910824878386,5.73654780039022e-06,trust,1.0000000000000002,CS 61A Exam Proctoring Link & PDF
22,7.589082367761969e-05,6.875323913300373e-05,0.001954397976998418,4.566252043520863e-05,0.9978186576085554,3.663783120025094e-05,curiosity,0.9999999999999999,"January's Hot Jobs: 34 Full-Time, 51 Part-Time, 100+ Internships!"
23,0.00011369109484360975,0.0002892010932355503,0.9990738472153445,0.00018433574331939116,0.00020216315783392187,0.00013676169542280148,surprise,0.9999999999999999,"Mogul - plus, Talking Turkey On 'Gobble'"
24,0.00021046068452591974,0.0016284196829092351,6.616517612932147e-05,0.9979269807284022,9.864790953499873e-05,6.93258184984297e-05,trust,1.0000000000000002,"Tanish, Reminder, $32K scholarship expires TONIGHT"
25,0.37189525218612973,0.00016995495527913218,0.00024325976083589,0.17658337513998504,0.451096707922432,1.1450035338064827e-05,curiosity,0.9999999999999998,Computer Lab Opens; Hispanic Heritage Month Begins
26,0.00016234993126717538,1.1488939486377228e-05,0.9994900759855777,0.00015529597081944836,6.077066071584183e-05,0.00012001851213306083,surprise,0.9999999999999996,Deloitte Recruiter Coffee Chat Confirmation- 2/23/21
27,0.9783338253382512,2.349157565017539e-05,1.7700498400653078e-05,0.021593513772291417,1.5688262627524037e-05,1.5780552779772332e-05,enthusiasm,1.0000000000000009,Ritvik Pandey mentioned you in Calculate S&P 500 stock change up to 15 minutes after important phrase is said (determined via PF-IDF) and put in CSV for training set
28,4.68758311373706e-05,0.00021857621593638756,3.789930950190852e-05,0.999400955715357,0.00023090767834376105,6.478524972352624e-05,trust,1.0,"Week In Review: Magnetometer, Podium, Reimburse, and more"
29,1.0670547802104911e-05,9.487352690591526e-06,1.0818397770622655e-05,1.0418125600744973e-05,0.9999482245447973,1.0381031338609265e-05,curiosity,1.0,scholarships for CA residents
30,0.0002543898683809246,0.00030543115210355815,0.00015225516780585467,0.0005886690167047973,0.998596413555558,0.00010284123944699782,curiosity,1.0,"Nostrum - plus, The Words of the Week - 1/29/21"
31,9.409296123447755e-05,0.11890408645142794,0.0002876807526070626,0.00028331341544521706,0.0005367027525038757,0.8798941236667813,exclusivity,0.9999999999999999,RE: Action Required - Last Chance! [8 PM EST]
32,8.321068483667227e-05,0.0003016707810955496,7.510809578592983e-05,0.8317157340656711,0.16773893593814154,8.534043446938037e-05,trust,1.0000000000000002,"Reprise - plus, A Few Words on 'Toast'"
33,0.00010423605868809113,2.4640666068222483e-05,4.9299020799719975e-05,8.283747786027318e-05,0.00029260146932758144,0.999446385307256,exclusivity,0.9999999999999999,"You're Invited: Motivation, Positivity, and Perseverance Masterclass"
34,0.0001839340588473811,0.0013192803095435773,2.7840127220171105e-05,0.9982775479093918,0.00012738853161089396,6.400906338607715e-05,trust,0.9999999999999999,Tanish $32K Scholarship Giveaway Expires Tonight!
35,5.768698793099117e-05,0.22720844412936297,5.26494463743767e-05,0.000282913463173857,0.7723394143518361,5.889162132152175e-05,curiosity,0.9999999999999998,"Optimization - plus, 9 Words from P.G. Wodehouse"
36,9.741393549909237e-05,0.00029402520327411537,9.010070052987713e-05,0.9987957365893035,0.0006540050298834596,6.871854151005686e-05,trust,1.0000000000000002,"Effusive - plus, The Words of the Week - 1/15/21"
37,4.698074653162723e-05,5.027634557263478e-05,3.352025652846459e-05,4.2563341843831845e-05,0.9996538363685592,0.00017282294096446533,curiosity,1.0000000000000002,"Welcome! Are you interested in this job near Santa Clara, CA? I found it while browsing Jobcase"
38,0.00011290541781798621,2.525530496521993e-05,0.9997626278897874,3.568551403317666e-05,5.094143844891073e-05,1.2584434947299531e-05,surprise,1.0,Participate in an International Study on COVID-19
